id|name|definition|target|comparisons|fixtures|metric|ablations|decision_use
C15.ZERO_DTE|Settlement-remainder IV specialists|Use exact remaining minutes and total variance for the correct 0DTE contract; freeze known event/quote/expiry state.|Remaining-to-settlement variance/tails and 5/15-minute supported paths.|Price/RV-only remainder; surface-augmented duration model; shared head conditioned on remaining time.|Same-date AM/PM, expiry boundary, event just before close and unstable tiny-T IV.|Remainder coverage, tail score, solver sensitivity and feasible bracket value.|0DTE versus 1–7DTE, total variance versus annualized IV and clock uncertainty.|Prevents exploding annualized Greeks and incompatible horizons from dominating decisions.
C15.CROSS_IV|Cross-chain implied differences|Align related chain/family IV at matched k/T with exercise, basis and freshness uncertainty.|Receiver tail/path and future cross-IV factor changes.|Separate chain levels; regularized difference/interactions; joint masked factor model.|QQQ dividend/style mismatch, NDX forward proxy, asynchronous SPX/NDX and absent tenor.|Incremental proper scores on common and full supported cohorts.|Each chain, mapping, term and difference versus raw levels.|Tests complementary index/ETF information without an assumed dominant chain.
C16.FORWARD|Intraday VIX option-implied forward|Use raw eligible call/put parity and multi-strike intervals, distinct from daily VX settlement and unobserved intraday cash VIX.|VIX-forward changes and NQ/ES stress at 5/15/60 minutes.|Last daily VX curve; raw parity reference; robust interval/state estimate.|Inconsistent pair intervals, rate scenario, stale quotes, wrong expiry and negative/invalid forward.|Parity residual/support, forward uncertainty and receiver tail score.|Rate/strike selection, daily VX and price-only receiver context.|Makes acquired minute VIX options an explicit intraday context source.
C16.VIX_SURFACE|VIX-option smile and right tail|Price each VIX index option with its forward/settlement convention; encode supported right/left wing IV and term shape.|Future VIX-surface/forward variability and receiver stress.|Forward+ATM; skew/term factors; compact masked surface representation.|Equity-style skew sign imposed on VIX, empty wing, invalid calendar constraint and zero bid.|Quote reconstruction, asymmetry calibration and incremental receiver proper score.|Forward, ATM, right/left tails and term information separately.|Tests volatility-market stress shape while preserving distinct product semantics.
C16.VVIX|Intraday implied volatility of volatility|Build an internal VIX-option strip/term measure; exact official reconstruction additionally requires historical monthly/source/filter rules.|Future VIX-forward variability and incremental NQ/ES tails.|VIX ATM IV; transparent strip proxy; verified methodology reconstruction where available.|All expiries confused with monthly, wrong venue, near-expiry exclusion, missing rates and coarse snapshots.|Formula/coverage sensitivity; future variability and receiver-tail scores.|ATM versus strip, expiry/source selection and quote uncertainty.|Adds volatility-of-volatility information without calling an approximate series official VVIX.
C16.VX_CURVE|Daily VX maturity structure|Use only published daily VX prices/settlements, roll/maturity and term curvature; do not synthesize intraday futures ticks.|Subsequent session/day stress and intraday receiver tail conditioning.|Front/second difference; constant-maturity factors; shrinkage conditional forecast.|Roll-induced slope jump, missing contract, same-day settlement used early and holiday maturity.|Publication fidelity and held-out tail/variance increment.|Daily curve levels/slopes/curvature versus VIX-option intraday features.|Retains acquired futures context at its actual cadence.
C16.JOINT_STRESS|Joint volatility-complex stress|Combine causal NQ/ES returns, equity-IV factors and VIX forward/surface shocks with independent masks.|Joint stress states and receiver 5/15/60-minute tails/path.|Additive expert forecasts; regularized interactions; shared latent/temporal model.|Common shock mistaken for lead, missing VIX chain, opposing IV moves and signal after receiver move.|Joint/tail calibration, lag sensitivity and whole-policy increment.|Each market/factor, contemporaneous versus lagged inputs and shared-capacity control.|Tests whether combined volatility information improves actionability beyond separate experts.
C16.VX_OPTIONS|Distinct options on VX futures|DEFERRED: require actual UX/options-on-VX feed, underlying future and physical-settlement definitions; existing VIX OPRA files do not supply it.|Contract-style valuation then future volatility/receiver information.|Correct futures-option valuation; VIX-index-option information baseline; joint challenger if acquired.|VIX/UX confusion, underlying future rolls, option expiry before future and delivery convention.|Payoff/identity parity, coverage and incremental common-cohort score.|VX options versus VIX options versus daily VX curve.|Keeps the requested extension visible with a precise unmet data dependency.
C17.PRE_POST_EVENT|Known calendar and observed response|Separate scheduled proximity, actual publication, surprise only with timestamped consensus data, and subsequently observed market response.|Pre-event tails; post-publication 1/5/15/60-minute path/volatility.|Calendar-only; price-response model; event-conditioned regression/hazard.|Revised consensus, date-only time, delayed release, event during open and no comparable history.|Timing fidelity, conditional score and delayed executable value.|Calendar, observed response, surprise and event categories independently.|Uses events as probabilistic context instead of a blanket no-trade rule.
C18.CONTROL|Independent participation/control experts|Compare signed effort, price reward, memory, cohort disagreement and price-only control before target-specific fusion.|Continuation/reversal, future excursions and control-transition probabilities.|Simple return/flow rule; regularized multi-head model; sequence challenger.|Largest delta loses, reward becomes known later, filtered flow silence and control switches.|Proper score, state uncertainty, diversity and full-policy value.|Each effort/reward/memory/cohort channel and location interaction.|Tests observable participation mechanisms without claiming hidden identity.
C19.REMAINING_ROOM|Remaining movement and competing obstacles|Condition future movement on current price, elapsed path, time, event and compatible forecasts; retain attainable destinations and occupied time.|Remaining 5/15/60-minute or boundary path and feasible payoff distribution.|Distance/seasonal room; conditional excursion model; joint time/path model.|Past HOD already realized, expected range exceeded, distant high-score node and boundary truncation.|Coverage, reach/order calibration and full bracket net value.|Already-used range, IV, topology, time and competing destinations.|Turns better Context into realistic stop/target/opportunity estimates.
C20.REGIME|Continuous state and filtered regimes|Compare continuous volatility/auction/flow axes with filtered Markov/duration/change-point states; separate measured state from later forecasts.|Future distribution changes and conditional expert applicability.|Continuous features; soft HMM/HSMM; regime-free regularized model.|Smoothing leak, too many rare states, transition mid-session and gate collapse.|Prequential proper score, state stability/support and conditional policy gain.|State count/duration, hard versus soft gates and every conditioning axis.|Tests whether specialization improves forecasts without hindsight labels or rigid permissions.
C20.REVERSION|Observed reversion and expansion diagnostics|Use causal return autocorrelation, variance-ratio-style summaries, traversal efficiency and mean-distance behavior with explicit sampling/horizon.|Future reversion, expansion and barrier-order probabilities.|Price/volatility baseline; regularized diagnostic features; duration-conditioned learner.|Bid-ask bounce mimics reversion, nonstationary trend, chosen favorable lag and low sample count.|Sampling sensitivity, proper scores and gain beyond assumed gamma sign.|Each diagnostic, lag/window, microstructure correction and options scenarios.|Tests realized behavior directly rather than assuming long/short gamma dictates it.
C21.TRANSITIONS|Session handoff and horizon experts|Preserve overnight, Europe, preopen, RTH-open/midday/close and cross-market handoffs with actual calendars and age.|Next segment and fixed 15/60-minute/boundary path distributions.|Clock-seasonal baseline; transition regression/hazard; shared duration model.|Japan/US holiday mismatch, London DST difference, opening gap and late source close.|Conditional calibration and all-session economic value at actual availability.|Prior segment state, market source, time and optional event conditioning.|Tests changing opportunity through the whole allowed day.
C22.ORIGINATION|Context-originated opportunity proposals|Generate a bounded feasible current-price or pullback opportunity from compatible Context/source-event forecasts with complete candidate logging.|Action-value and missed-move/non-fill distribution at the decision boundary.|Location-only; transparent Context rule; bounded proposal model.|No local node, no safe stop, signal already consumed, contradictory context and never-filled pullback.|Proposal coverage/density, value calibration and sequential net increment.|Context originator, immediate/pullback, local-node requirement and source features.|Preserves the user's Context-and-Location origination requirement.
C23.PARKINSON_SCALE|High-low variance information|Keep exact Parkinson high-low variance and its diffusion/sampling limitations; forecast future variance separately.|Matched future variance and excursion horizons.|Historical range and close variance; Parkinson regression; multiscale regularized challenger.|Same range/different path, opening jump, zero width and price-scale transformation.|Formula/scale parity, QLIKE and incremental ensemble contribution.|High-low versus close/opening/RV features and sampling interval.|Tests this physical estimator against the richer volatility family fairly.
C24.GARCH_ASYMMETRY|Conditional-variance and leverage challengers|Compare ARCH/GARCH, asymmetric GJR/EGARCH-style variants and heavy-tail innovations under validated parameter domains.|Positive future conditional variance and tail distributions.|Seasonal/EWMA; GARCH; asymmetric/tail variant at equal search budget.|Nonstationary parameter region, variance positivity, leverage sign, extreme shock and optimizer failure.|QLIKE, tail coverage, convergence/fallback and learning curves.|Asymmetry, innovation tail, horizon aggregation and implied-vol inputs.|Keeps interpretable volatility dynamics as genuine competitors to larger models.
O01.COVERAGE|Contract and strike support|Audit actual quote/OI/trade expiry and moneyness support separately; request-folder names are not verified coverage.|Eligible chain state and sampling population at every cut.|Observed-only reference; masked partial board; explicitly modeled completion challenger.|OI beyond 60DTE with shorter quotes, missing wing, disappeared 0DTE and same-date settlement classes.|Exact coverage/identity counts; policy and calibration by support.|Common intersection versus full supported cohort; missing-strike stress.|Stops a richer-looking board from silently relying on unacquired contracts.
O02.BIDASK_IV|IV uncertainty and solver domains|Invert bid/mid/ask under the correct contract model and forward/rate interval; retain nonidentifiable/out-of-domain states.|Price-consistent IV interval and downstream sensitivity uncertainty.|Robust bracketed inversion; alternate permitted pricing solver; midpoint-only benchmark.|Below intrinsic, wide/zero/locked quotes, tiny T, wrong future and unsupported exercise style.|Repricing residual, monotonicity and interval coverage of admissible quotes.|Quote side, rate, forward, solver tolerance and exercise convention.|Makes surface/Greek certainty reflect observable quote quality.
O04.SURFACE_FIT|Spatial surface and arbitrage constraints|Compare direct quote interpolation, constrained spline/SVI-style fits and smooth masked factors; validate each constraint for the payoff family.|Held-out strike/expiry quote reconstruction and surface support.|Local interpolation; constrained parametric surface; compact learned representation.|Butterfly violation, stale wing, incompatible VIX calendar constraint and omitted strike support.|Spread-weighted reconstruction, admissibility violations and stability.|Smoothing/constraints, maturity coupling, price versus IV loss and masks.|Improves Greeks without hiding bad data or assuming tighter fits improve trades.
O04.TEMPORAL_SURFACE|Surface continuity and observation noise|Track changes with quote-error models and fixed-parameter filtering; distinguish state filtering from future-data smoothing.|Next surface state and causal latent-factor uncertainty.|Independent minute fits; regularized state-space; temporal factor model.|One stale strike jumps, entire surface reprices, missing interval and future-smoothed state.|Prequential error within quote uncertainty, delay and physical downstream gain.|Temporal smoothing, noise model and independent-fit benchmark.|Tests whether stable intraday IV is useful without smoothing away real event shocks.
O05.HIGHER_GREEKS|Vega, vanna, charm and volga sensitivity|Keep per-option units, coordinate, time sign and mixed partials; compare exact scenario repricing with finite-difference sensitivities.|Correct price/delta response to spot, IV, skew, time and combined shocks.|Analytic derivatives where valid; independent finite differences; full repricing.|Vol-point versus fraction, charm sign/time unit, cross term, tiny expiry and multiplier.|Derivative error across perturbation sizes and scenario residual.|Each higher Greek and linear versus exact scenario response.|Tests richer exposure channels while keeping valuation sensitivity distinct from actual hedge flow.
O06.REPORT_COHORTS|OI reporting and terminal states|Separate continuing, expired, exercised/adjusted and missing-report contracts by actual publication and revision.|Next-reported aggregate OI/change distribution with explicit maturity.|Last reported OI; seasonally shrunken change baseline; separate terminal-state handling.|Expiry absence labeled zero, future report early, missing revision and exercise without tape.|Report/count reconciliation, continuing-cohort count deviance and coverage.|Report lag, contract state and level versus change targets.|Prevents trivial expiry behavior from looking like accurate inventory prediction.
O07.HIERARCHICAL_OI|Aggregate OI forecast hierarchy|Predict next-report counts/changes using price/volume/premium/Greek flow, borrowing strength across expiry/moneyness without assumed opening labels.|Contract/cohort/expiry next-report OI distribution and calibration.|Frozen OI; regularized count/change regression; hierarchical/boosted count model.|Sparse contract, high volume/no change, zero previous OI and aggregation mismatch.|Count deviance/MAE, interval calibration and aggregate reconciliation.|Raw volume, signed flow, Greeks, calendar and hierarchical sharing.|Tests whether forecastable aggregate holdings information helps future boards.
O08.ASSIMILATION|One-time evidence assimilation|Freeze OI baseline and compare constrained latent paths; O07 output and its underlying flow must not be independent duplicate observations.|Identification interval, next-report consistency and downstream path value.|Frozen OI; volume-allocation scenarios; coherent conditional filter/particle challenger.|Same endpoint/different path, duplicate flow input, exercise, no-change trades and 0DTE.|Constraint validity, endpoint calibration and downstream robustness across priors.|O07, prior strength, allocations and direct flow-to-price bypass.|Keeps dynamic holdings uncertainty explicit while allowing predictive improvements.
O09.SCENARIO_CURVES|Exposure across price and surface shocks|Compute unsigned and declared signed holdings scenarios over source price/IV/skew/time grids; preserve unit and identity.|Exposure curve/topology measurements and future receiver role/path via O22.|Static prior-OI board; mechanical repricing; uncertain holdings plus joint shocks.|Delta/gamma sign confusion, call-put heuristic, absent wing and source-to-mini Jacobian.|Finite-difference/unit parity; scenario sensitivity and independent role score.|Greek, holdings sign/allocation, shock shape and current-price-only board.|Tests informative concentrations without claiming known dealer books or attractors.
O10.JOINT_DECOMPOSITION|Mechanical and flow change attribution|Decompose changes from spot, time, IV/skew, observed universe and holdings scenarios; record ordering/interactions rather than forcing unique additive causality.|Explain board change and forecast node/path dynamics.|Frozen holdings repricing; ordered exact counterfactual decomposition; symmetric/Shapley-style diagnostic with bounded budget.|Same exposure change from spot or flow, moving Jacobian, expiry removal and large interaction residual.|Reconciliation to total change, order sensitivity and incremental node forecast.|Each repricing term, interaction residual and observed flow.|Separates mechanical dot changes from genuinely new observable flow information.
O11.NODE_GEOMETRY|Node support, uncertainty and identity|Separate physical strike-cluster width from measurement/mapping uncertainty and entry tolerance; retain split/merge/birth/death.|Stable versioned nodes and later calibrated reach/depart outcomes.|Individual strikes; deterministic clusters; KDE/learned proposals with fixed budgets.|Two nearby nodes merge, same magnitude/opposite sign, small node, missing wing and widened hit labels.|Membership/identity parity, geometry perturbation and matched-density value.|Smoothing, width definition, small nodes and per-expiry aggregation.|Tests useful precise locations instead of visually large or retrospectively widened dots.
O12.PERSISTENCE|Node persistence and useful lifetime|Model age, mass changes, expiry, touches and scenario stability with event identity preserved.|Next survival, disappearance, retest and receiver role over 5/15/60 minutes.|Static TTL; empirical hazard; competing-risk/duration model.|Expiry death versus flow thinning, refreshed node alias, no retest and late deletion.|Calibrated incidence, lifecycle coverage and policy value.|Age, mass, expiry, observed flow and static-node baseline.|Tests when an options location remains informative.
O12.MIGRATION|Node movement and thickening|Track center/shape/mass velocity relative to spot, separating mechanical and residual change without assuming migration is bad.|Future node state and receiver continuation/reversal/runner outcomes.|Static node; linear state update; temporal topology model.|Spot follows fixed node, node follows spot, split/merge and same mass/different shape.|State-change error, role/path score and actionable timing.|Mechanical versus residual change, history depth and scenario robustness.|Tests evolving boards as information rather than universally preferring stationary levels.
O13.GRAMMAR|Vendor pattern vocabulary as measurable hypotheses|Register gatekeeper/decoy, corridor/air pocket, whipsaw, trend, rainbow/rug and velocity patterns with numerical memberships and ordered histories.|Receiver PATH/REACH/DEPART at matched 5/15/30-minute horizons.|Faithful observable pattern rules; continuous topology regression; set/graph temporal model.|Identical net GEX/different topology, missing panel, pattern only visible after outcome and no local node.|Pattern-definition fidelity, proper scores and density/coverage-matched value.|Each topology feature/pattern; visual names removed; raw numeric board control.|Tests the full pattern family without importing proprietary accuracy claims.
O14.CHAIN_ENCODER|Strike-by-expiry representation|Encode supported contract/strike/expiry sets with native units, masks and time; separate forecast head from representation learning.|Common receiver path and object-role targets.|Aggregated board features; regularized interactions; set encoder or compact tensor model.|Strike permutation, missing expiry, duplicate contracts and future-universe token.|Permutation/coverage invariance, learning curves and information-matched proper scores.|Expiry shape, strike topology, history and encoder capacity.|Tests whether within-chain structure adds beyond summary exposures.
O15.FLOW_CHANNELS|Contracts, premium and sign scenarios|Keep gross/signed calls/puts, contracts, USD premium and uncertainty with event-time and receipt provenance.|Future price/volatility/node outcomes at 1/5/15/60 minutes.|Unsigned totals/PCR; simple signed-flow regression; nonlinear conditional flow model.|Buy put direction, inside-spread unknown, correction, multiplier and same-time unrelated trades.|Ledger conservation, sign-sensitivity and independent channel score.|Gross/signed, calls/puts, premium/contracts and expiry bucket.|Preserves predictive raw flow when Greeks or holdings estimates are unavailable.
O16.DELTA|Delta-weighted CVD|Accumulate event-frozen source sensitivity and delta dollars; source-to-mini conversion uses the correct Jacobian and point value.|Channel OHLC and future receiver path at 1/5/15/60 minutes.|Contracts/premium; fixed delta; causal Greek-weighted flow with regularized predictor.|Call/put delta sign, sold trade, stale Greek and 500-to-20000 mapping example.|Unit/finite-difference parity and incremental score/value.|Delta versus raw flow, mapping and expiry/cohort.|Tests directional sensitivity flow without treating mini-equivalent features as positions.
O16.GAMMA|Gamma-weighted CVD|Accumulate signed traded-option gamma contribution per declared 1% source move; hypothetical offsetting hedge has opposite sign.|Channel OHLC and future volatility/path/node role.|Raw flow; fixed gamma approximation; event-valued gamma flow predictor.|Long call/put gamma both positive, sell sign, u-squared scale and delta-dollar MTM confusion.|Dimensional/repricing parity and incremental calibration/value.|Gamma versus delta, gross versus signed, 0DTE and sign uncertainty.|Tests whether concentration of traded convexity adds distinct information.
O16.VEGA|Vega-weighted flow and CVD|Restore explicit vega flow sum of signed contracts times multiplier times per-option vega; keep fraction and vol-point units.|Event OHLC and future IV/skew/physical-volatility/receiver paths.|Contracts/premium; vega-weighted flow; multihorizon statistical or temporal predictor.|Two contracts times 100 times vega5 equals 1000 USD/unit IV or 10 USD/vol-point; sold sign and missing trade feed.|Exact weight/OHLC arithmetic; future-surface and receiver incremental score.|Vega versus gamma/delta/raw flow; each expiry and cohort.|Restores the conversation's omitted vega-flow hypothesis and tests its distinct information.
O16.VANNA_CHARM|Vanna and charm flow channels|Accumulate each declared Greek channel separately, with source price and IV/time units; do not conflate them with vega.|Future delta-sensitivity change, node dynamics and receiver path.|Delta/gamma flow; each higher-Greek channel; joint regularized model.|IV unit100x, charm elapsed-time sign, same price with time decay and overlapping Greek evidence.|Finite-difference/unit parity and conditional incremental scores.|Vanna alone, charm alone, time/IV controls and signed/gross channels.|Tests flow-linked surface/time sensitivity without duplicate confluence votes.
O16.FROZEN_REPRICED|Frozen versus revalued flow paths|Freeze eligible Greeks at trade availability; separately reprice accumulated flow at later cuts and decompose changes.|Future surface/node/receiver outcomes from distinct CVD versions.|Raw/frozen channel; arrival-repriced channel; later revaluation challenger.|Greek event after print but before late receipt, later IV jump, same final total/different OHLC and unavailable valuation.|Prefix correctness, exact decomposition and paired predictive/value increment.|Frozen/repriced, event ordering, cohort and Greek age.|Shows whether new information comes from trades or subsequent valuation changes.
O17.CENTER_BANDS|Exposure centers and envelopes|Compare absolute/signed centers, weighted quantiles, topology bands and opening envelopes with explicit empty-side rules.|Location reach/depart/traverse over 5/15/60 minutes.|Source GEX-weighted center; ordinary VWAP; uncertainty-aware band model.|Signed denominator cancels, threshold fraction mistaken for percentile, early envelope and mixed expiries.|Formula/reference parity and width/density-matched location utility.|Weight/sign, expiry selection, envelope window and price VWAP interaction.|Tests upgraded board-center locations without claiming universal attraction.
O18.RATIOS_BREADTH|Flow ratios, breadth and concentration|Keep count/premium/Greek PCR, volume/OI, moneyness/DTE activity, concentration, ranks and within/cross-chain breadth separate.|Future physical volatility/path and node-role distributions.|Simple PCR/volume; normalized multichannel regression; conditional breadth model.|Zero OI, final-day rank leakage, missing denominator, one huge print and short-DTE mix shift.|Ratio/normalization fidelity, conditional proper scores and incremental value.|Each numerator/denominator, seasonality, moneyness, expiry and chain.|Tests broad flow measures without confusing units or using future daily rankings.
O19.FUTURES_OPTION_STYLE|Futures-options information portability|Use actual underlying future, exercise/expiry, multiplier and coverage to build comparable futures-option experts.|Receiver path and matched chain-family incremental forecast.|Futures tape only; futures-option raw/Greek features; independent chain expert.|Option references deferred future, negative/invalid pricing domain, sparse expiry and wrong multiplier.|Contract parity, coverage and common-date score/value.|Futures options versus cash-index/ETF chains; each expiry/style.|Prevents futures options from being omitted or treated as identical equity contracts.
O20.TRADE_AMBIGUITY|Complex trades and sweep uncertainty|Retain reported conditions, timing/price/size patterns and bounded grouping hypotheses; no asserted parent identity from simultaneity.|Sign/grouping uncertainty and future price/volatility increment.|Ungrouped conservative flow; condition-aware features; probabilistic grouping scenario.|Unrelated simultaneous trades, multi-leg offset, late aggregate and unknown aggressor.|Reconciliation, scenario dispersion and gain robust to ambiguity.|Group/condition/sweep/size features; unsigned fallback.|Tests enriched flow without fabricated spread or sweep labels.
O21.SENSITIVITY|Uncertainty propagation and support|Propagate quote, IV, holdings, mapping, age and coverage scenarios through nodes, forecasts and action value with correlated errors preserved.|Forecast/action applicability and robustness of selected decisions.|Observed-only masks; independent-error benchmark; coherent scenario propagation.|Same uncertainty counted twice, all experts missing, unstable node width and confident extrapolated wing.|Coverage, decision flip rate, conditional calibration and conservative value.|Each uncertainty source, independence assumption and missingness pattern.|Makes improved information earn reliable use instead of artificial confidence.
O22.RUNNER|Node reaction and sustained departure|Separate pin/chop, local bounce, continuation, failure and sustained travel with competing barriers/time and no-reach states.|Joint reach/depart/runner duration and feasible full-position VALUE.|Node-only empirical rates; survival/multistate head; joint contextual path model.|Bounce without runner, runner after small node, far strongest node, same excursions/opposite order and no local node.|Proper order/time scores, tail calibration and value after costs/occupancy.|Node magnitude/topology, IV/flow/holdings, context and source chain.|Tests the user's precise reversal-and-travel objective rather than a touch statistic.
O23.PAYOFF_SET|Max-pain minimizer set|Evaluate per-expiry intrinsic payout on the valid settlement domain and preserve the entire minimizer set with OI coverage.|Exact benchmark location plus independently tested future price role.|Literal strike-breakpoint calculation; optimized convex evaluation; role learner downstream.|Flat minimum interval, one-sided chain, adjusted payoff and missing strikes.|Exact minimizers and density/distance-matched role value.|Max pain versus exposure center/raw strikes; coverage and expiry.|Retains the source hypothesis without equating payout minimization with dealer profits or pinning.
X01.ASYNC|Asynchronous information alignment|Join only backward availability and retain source intervals; distinguish native quotes, completed ETF minutes and daily cash.|Receiver forecast at first supported actionable time.|Common-minute baseline; event availability merge; latency-scenario alignment.|False subsecond ETF lead, two events in one bar, future-nearest source and stale daily index.|No future joins; score and value sensitivity to source lag.|Grid, carry age, source event versus source return and timing uncertainty.|Tests whether cross-market information survives the time it takes to observe it.
X02.PARITY_BASIS|Forward, basis and coordinate mapping|Compare raw European parity, causal affine/filtered basis and prior-cash-plus-ETF proxy with explicit Jacobians.|Mapped level distribution and source-to-receiver sensitivity.|Fixed ratio; rolling affine; causal carry/basis filter.|Index cash absent intraday, parity interval conflict, ETF dividend, roll and inverse Jacobian error.|Held-out mapping residual/coverage relative to tick and band width.|Mapping method, source age, rate/carry and uncertainty.|Enables precise related-chain locations while allowing mapping-independent source events.
X03.NDX_QQQ|Nasdaq chain specialists|Keep NDX, NDXP, QQQ and NQ futures-option experts distinct; compare same and full supported expiry/coverage cohorts.|NQ PATH/REACH/DEPART/VALUE at matching horizons.|QQQ-only/futures-only; calibrated additive family; set interaction model.|Monthly no near expiry, sparse wings, small NDX node, no QQQ node and proxy index touch.|Paired scores/net value, subgroup uncertainty and density/mapping-matched controls.|Every chain, expiry, OI/flow/surface layer and equal model capacity.|Tests the user's NDX observation without assigning the answer beforehand.
X04.SPX_SPY|S&P family and fair ES comparison|Keep SPX/SPXW/SPY/ES-option forecasts distinct; execution comparison uses identical eligible dates and proper point values/costs.|ES and transmitted NQ common targets; separate end-to-end NQ-versus-ES value.|SPY/ES tape; individual index chains; calibrated joint family.|AM/PM confusion, missing ES BBO, source event valid for NQ and future daily instrument choice.|Common-cohort forecast/net/account intervals and coverage accounting.|Every chain, execution instrument and missing-data scenario.|Supports a fair ES alternative and S&P information for NQ.
X05.SOURCE_ONLY|Source-event receiver transmission|Start receiver prediction only after source contact/reaction is knowable; include already-realized receiver movement and common-shock controls.|NQ/ES 1/5/15/30-minute path and executable source-originated value.|Receiver-only; lagged source-return/event regression; directed hazard/temporal model.|SPY turns with no NQ node, receiver moves first, source fails, delayed minute and contradictory sources.|Incremental proper score/value under added lag and no-local-node cohort.|Local-node gate, source event/return, direction/time placebo and common-market return.|Preserves source-only opportunities instead of requiring simultaneous local touches.
X06.SET_GRAPH_TIME|Joint information and representation tests|Compare chain sets, economically justified directed graphs and temporal histories on identical masked inputs; independently score constituent experts.|Common receiver path and optional coherent multi-asset distribution.|Additive calibrated experts; regularized interactions; set/graph/compact attention models.|Input permutation, duplicate chain, irrelevant edge, same net GEX/different shape and missing family.|Learning curves, paired proper scores, joint dependence and whole-policy increment.|Every chain/edge/history; random compatible graph; shared versus separate heads.|Tests broad simultaneous pattern recognition and correlated evidence explicitly.
X07.PRICE_SMT|Price relative strength and breach order|Normalize causal prior-reference breaches and residual returns using past beta/scale; preserve confirmed/running variants.|Receiver path after source availability, 1/5/15/60 minutes.|Price ratio/rule SMT; ridge/VAR-style lag model; duration-aware model.|Own high breached only in one index, negative beta, asynchronous fake lead and future pivot.|Lag-stressed proper score and net value beyond receiver-only.|Pair, reference scale, normalization and direction placebo.|Tests cross-market structure without claiming structural causation.
X07.FLOW_SMT|Cross-market cohort-flow SMT|Compare standardized traded CVD/cohort OHLC and flow-reference breach order only where actual side/event data exist.|Receiver 1/5/15/30-second and minute paths in timing-supported cohorts.|Price-only SMT; aggregate CVD difference; cohort OHLC/sequence interaction.|ETF volume proxy called CVD, equal close/different extremes, missing source side and unequal contract sizes.|Mass/unit/timing correctness and gain beyond price/aggregate-flow baselines.|Source/cohort, OHLC versus close, lag, sign and scale.|Tests the user's trade-level SMT idea separately from ordinary correlation.
X08.TRF|Reported off-exchange equity prints|DEFERRED: complete TRF receipts/corrections required; unsigned shares/notional/intensity and reference objects stay separate from side/identity claims.|5/15/60-minute receiver path and print-reference reach/depart.|No-print context; lagged notional regression; condition-aware tabular model.|Late/corrected print, daily top-list leak, incomplete pagination and no aggressor side.|Receipt/correction fidelity; value after reporting delay and matched-print placebos.|Size, time, price reference, clustering and source mapping.|Preserves vendor print hypotheses with an explicit unavailable-data gate.
X08.CONSTITUENTS|Constituent breadth and event concentration|DEFERRED for full breadth until historical membership/weights and prices exist; current ETF bars/calendar are separate supported proxies.|Index path, volatility and event stress over 5/15/60 minutes/session.|Futures-only; ETF relative return/volume; genuine weighted breadth if acquired.|Today's members in past, revised earnings, ETF split and date-only event used early.|Point-in-time identity and common-cohort incremental score/value.|ETF proxy, genuine breadth, weights, event concentration and valuation context.|Keeps broad equity information testable without inventing acquired constituent tapes.
X09.NKD_FX|Japan equity and FX transmission|Use native NKD/Nikkei price/flow and USDJPY returns separately, then interactions at verified cadence.|15/60-minute and next-session receiver tails where timing supports them.|Receiver-only; lagged equity/FX regression; joint conditional model.|Japan/US holidays, local index points multiplied as cash, BOJ event and stale FX.|Native-unit/time parity and incremental tail/value.|Equity, FX, lag and session overlap.|Tests non-US context without false price-coordinate equivalence.
X09.HG_FX|Copper and currency context|Use native HG flow/price, SHFE context and USDCNY with grade/weight/currency/delivery and release semantics preserved.|15/60-minute native-stream or session/day slow-context receiver targets.|Receiver-only; normalized source returns; nonlinear cross-market interaction.|Unit/grade mismatch, stale inventory, currency sign and commodity roll.|Publication/unit checks, proper scores and whole-policy increment.|HG, SHFE, FX, native versus normalized scale and lag.|Tests industrial-metal information without an assumed arbitrage identity.
X09.SI|Silver context|Use SI native flow/price plus separately certified slow SLV/SHFE measurements; retain actual source cadence.|15/60-minute receiver path and session/day stress.|Receiver-only; SI return/flow model; slow-fast interaction.|Futures roll, missing side, daily inventory used intraday and ETF adjustment.|Calibration and incremental tail/net benefit on common dates.|SI price/flow, slow context, session and source lag.|Keeps the prior silver research question independently diagnosable.
X09.YM_RTY|Other US index-futures specialists|Use actual YM/RTY prices/trades and verified side fields; quote/depth features require separate confirmed feeds.|NQ/ES 5/15/60-minute path and relative strength.|Receiver-only; return/activity regression; cross-flow interaction where supported.|Missing BBO, volume-scale mismatch, source leads after receiver move and small-cap event.|Paired proper scores/net value and lag/missingness sensitivity.|YM, RTY, price/flow, session and common-market return.|Tests information from the broad execution-adjacent universe without expanding position size.
X09.RATES|Rates and inflation-context inputs|Separate observed yields/curve prices from revised economic series; require actual release/vintage for each field.|Session/day stress and conditional intraday receiver tails at supported cadence.|No rates; last published level/change; partially pooled interaction model.|Revised FRED vintage, later daily close, yield-versus-price sign and holiday publication.|Availability fidelity and effective-report/date score/value.|Level/change/curve, lag, source and event interaction.|Tests macro context while respecting its true information clock.
