id|upgrade_scope|comparison|cases
C16.VX_OPTIONS|Maintain a separately eligible native options-on-VX branch with style/underlier/quote-specific valuation and flow information.|Compare no branch, supported native flow/settlement, and quoted/sensitivity features only if actually available.|VIX option mistaken for VX option; underlying expiry mismatch; no quotes; unsupported IV.
C17.PRE_POST_EVENT|Use partially pooled event-time kernels for anticipation, actual reaction and decay, with eligible surprise vintages separate.|Compare calendar, observed response and supported surprise at actual cuts; price confirmation delay and overlapping events.|Release late; press conference follows statement; consensus absent; horizon straddles event.
C18.CONTROL|Fit joint residual pressure/progress transitions with separate continuation, failure, persistence, expansion and cohort heads.|Compare raw/residual, ordinary/cohort, close/OHLC and trade/quote information independently before sequence complexity.|Expected large flow; quote-led move; same final delta different path; unknown side; contradictory cohorts.
C19.REMAINING_ROOM|Provide a coherent remaining U/D/time/order surface conditional on the observed prefix and mandatory boundary.|Compare seasonal, ADR-cap, direct remainder and valid conditional path models; economic feasibility stays in downstream G/P.|Already exceeded forecast; late fast move; high variance little net payoff; no remaining coverage.
C20.REGIME|Compare interpretable axes and uncertainty-aware predictive residual state with causal descriptive HMM/HSMM/change points.|Judge state by future forecast/decision increment, not retrospective cluster appearance; coverage state separate.|Future smoothing; mixed state; rare regime; feed acquisition change.
C20.REVERSION|Use continuous reversion/expansion efficiency and duration features as distinct diagnostics within predictive state, not one Hurst-style rule.|Compare raw persistence/reversion measures with conditional residual relationships and support-aware interactions.|Short noisy window; trend with local pullback; jump; parameter selected after outcome.
C21.TRANSITIONS|Add causal expected-activity phase and prior-session trajectory to every exact clock/reference/ordering transition.|Compare source hit tables, hierarchical session-pair models and duration kernels; score each body/open/range target independently.|Body25 versus O→O; AM expansion continues; holiday; overlapping sessions; current-inclusive count.
C22.ORIGINATION|Generate bounded complete Context opportunity templates for immediate and conditional entry with provenance and expiry.|Compare no origination, source threshold and calibrated templates through shared action deduplication/value/risk.|No local level; trigger never arrives; duplicate opportunity; no Response prerequisite; stop unaffordable.
C23.PARKINSON_SCALE|Extract residual range information and quality/scale diagnostics from exact Parkinson measurements.|Compare close/EWMA, GK/YZ/RS and registered residual forecasts under identical forward target and intervals.|Opening gap; drift-heavy range; noisy extreme; flat interval; redundant estimator.
C24.GARCH_ASYMMETRY|Register each asymmetric/tail recursion and compare realized-measurement augmentation plus residual combination with HAR.|Separate added RV information from model class, verify positivity/stability/retransformation and calibrate horizons/tails.|Near-unit persistence; heavy tails; missing RV; regime break; multi-step aggregation.
O01.COVERAGE|Use an incremental contract/strike/expiry support tensor with listing, quote, trade, OI and valuation capabilities separate.|Compare sparse union/intersection and optimized support views; measure operation-specific coverage and information loss.|New listing; missing wing; duplicate acquisition; unchanged value fresh observation.
O02.BIDASK_IV|Add price-to-IV conditioning and interval-aware solver outputs, with price-space alternatives when IV is weakly identified.|Compare mid, bid/ask, condition-aware representation and reference/optimized inversion under price-error tolerances.|Tiny vega; intrinsic-only; one-sided market; American boundary; near expiry.
O04.SURFACE_FIT|Compare robust interval-aware constrained price fits and low-rank spatial residuals against exact existing style-appropriate surfaces.|Score held-out prices relative to spreads, support/arbitrage diagnostics and downstream sensitivity at matched observed strikes.|Missing wing; conflicting quotes; American style; local curvature noise; unsupported extrapolation.
O04.TEMPORAL_SURFACE|Use causal temporal factors and filtered residual updates with shared quote/parameter uncertainty.|Compare independent snapshots, carry-forward and temporal fit on future quote prediction, calibration and decision increment.|Stale copies; support changes; rapid expiry; correlated surface error; future smoother.
O05.HIGHER_GREEKS|Retain every higher derivative and compare local approximations to full joint price/vol/time repricing cubes.|Verify analytic/automatic/finite-difference conventions, finite-shock truncation error and whether each derivative adds useful stable information.|Vanna interaction; charm time sign; volga curvature; near-expiry saturation; unlike units.
O06.REPORT_COHORTS|Generate interval-specific OI labels from a versioned report/lifecycle/revision ledger.|Compare naive dates and exact report events with known-at timing and explicit missing/terminal states.|Weekend; exercise/adjustment; omitted row; revised report; newly listed contract.
O07.HIERARCHICAL_OI|Add joint low-rank strike/expiry shocks and lifecycle-aware count scenarios to coherent aggregate OI forecasts.|Compare independent, reconciled and jointly generated distributions by totals, small contracts and concentration relocation.|Same total wrong strikes; common shock; zero/new/expiring contracts; revisions.
O08.ASSIMILATION|Compare compatible latent model families with explicit one-time evidence IDs and endpoint likelihood, preserving path nonidentification.|Test duplicate-input invariance, synthetic known-state recovery and downstream sensitivity versus direct observable bypass.|O07 and raw flow reused; same endpoint multiple paths; exercise shock; artificial posterior collapse.
O09.SCENARIO_CURVES|Construct joint source-price/tenor/shock response fields with gross, assumed signed and nonlinear reprice channels distinct.|Compare static Gamma, all local Greek/holdings cases and finite-shock summaries with unit and uncertainty checks.|Delta saturation; sign reversal; vanna/charm joint move; missing coverage; actual hedge not observed.
O10.JOINT_DECOMPOSITION|Attribute changes contract→node→chain with explicit interactions and fixed-universe controls.|Compare ordered and symmetric/Shapley decompositions, reconstruction/order sensitivity and future residual information.|Spot/IV/time interact; holdings assumption changes; node split; quote coverage loss.
O11.NODE_GEOMETRY|Use multiscale prominence/persistence and common-scenario node sets with explicit membership, width and identity uncertainty.|Compare strike/adjacent clusters, persistence and constrained matching at equal node density/contact width.|Plateau; tiny stable peak; merge/split; scenario-dependent sign; smoothing persistence differs from lifetime.
O12.PERSISTENCE|Forecast useful lifetime with duration, lineage, neighbor topology and factor-attributed growth under common uncertainty.|Compare static rank, independent survival and relational duration models with exact retirement observations.|Newly born node; missing acquisition; mechanically transient mass; growth observed only after delivery.
O12.MIGRATION|Forecast joint center/width/mass changes and topology transitions rather than independent slopes.|Compare raw/mechanical/holdings-attributed changes, relational node transitions and exposure-field evolution.|One node splits; rank changes without movement; mapping shifts; normalization changes share.
O13.GRAMMAR|Represent every named source topology by continuous geometry and causal transitions alongside its exact detector.|Compare sparse grammar, graph motifs and optional temporal model with branch-specific metrics and no universal admission rule.|Whipsaw/rainbow overlap; squeeze/weakening; decoy distance; stairstep; delivery/revisit; news/OPEX failure.
O14.CHAIN_ENCODER|Compare hierarchical low-rank strike-expiry factors and shared contract/local interactions with per-expiry/set/graph baselines.|Control information, support and compute; retain absolute coordinates and separate auxiliary label maturity.|Same totals different localization; expiry birth; permutation; sparse wings; auxiliary leak.
O15.FLOW_CHANNELS|Add spatial/temporal contracts/premium flow surfaces and expected-activity innovations with complete ledger reconciliation.|Compare gross/call-put, aggressor signed/unknown and multi-memory residual channels by each expiry/cohort.|Top-N feed; price dominates premium; same totals different expiry; corrected trade; uncertain sign.
O16.DELTA|Retain event-frozen delta-equivalent and dollar channels, then add finite-shock response and correctly mapped mini-equivalent features.|Compare raw contracts/premium, fixed delta, full valuation and nonlinear response at identical trade cuts.|Underlying point value; mapping slope; arrival repricing; fractional feature never changes execution units.
O16.GAMMA|Compare local Gamma-weighted flow with full finite-move delta/hedge-scenario response, preserving assumed sign and gross channels.|Score each CVD/OHLC, expiry/cohort and price-path contribution separately from ordinary traded CVD.|Near-expiry saturation; call/put sign heuristic; missed .01 scale; hedge sign opposite option sensitivity.
O16.VEGA|Keep a standalone vega flow/CVD/OHLC program and add common-vol-shock repricing response alongside other channels.|Compare vega versus delta/Gamma and full joint features with explicit IV fraction versus percentage-point units.|Vega omitted in aggregate shortcut; .01 convention; event surface missing; uncertain trade sign.
O16.VANNA_CHARM|Separate vanna vol-shock and charm elapsed-time effects, then test their interactions with price/Gamma under common scenarios.|Compare each channel alone, combined local approximation and full reprice response; no arbitrary unit sum.|Time sign; large joint move; surface convention; near expiry; mapping variation.
O16.FROZEN_REPRICED|Maintain event-frozen, arrival-repriced and later-revalued paths with mechanical change attribution and actual availability.|Compare their separate information/decision contributions while reconciling original ledger and true within-bar extrema.|Late receipt; quote after event unavailable then; future IV leak; revaluation mistaken for new flow.
O17.CENTER_BANDS|Add weighted quantiles, multimode centers and asymmetric scenario envelopes while retaining exact source filters/opening rules.|Compare mean/trimmed/quantile/all/per-expiry and multimodal features for stability and conditional roles.|Above/below mean versus spot; 50%-of-largest; zero mass; incomplete opening calibration; mean in valley.
O18.RATIOS_BREADTH|Decompose expected-adjusted breadth, within-contract intensity, signed imbalance and strike/expiry composition migration.|Compare raw and shrunken ratios with partially pooled residual activity models, scoring each numerator/denominator convention.|Tiny OI; new listings; price-weighted premium mix; missing contracts; same-time exposure.
O19.FUTURES_OPTION_STYLE|Keep a complete valuation-free native flow/strike/expiry branch and add eligible settlement/trade/quoted sensitivity layers separately.|Compare native unique information against futures-only and OPRA channels on matched dates and true contract styles.|UDS unresolved; no quoted IV; aggressor available; underlier expiry; late settlement.
O20.TRADE_AMBIGUITY|Build a causal compatible-grouping hypothesis graph with one-use trade accounting and bounded grouping alternatives.|Compare condition/window heuristics and uncertainty ensembles; probabilistic labels require reliable package evidence.|Shared trade in two hypotheses; delayed leg; coincidental size; incomplete ratio; future grouping.
O21.SENSITIVITY|Attribute joint uncertainty to downstream action/rank sensitivity and the potential value of better measurement.|Compare point, full scenario, reliability and action-instability gates while preserving early/late port order.|Same action despite wide forecasts; one uncertain node flips choice; correlated errors; duplicated evidence.
O22.RUNNER|Use coherent landmark contact/departure/retrace/runner/time outputs and direct-versus-mediated residual comparisons.|Compare simple node rule, direct chain/flow, latent exposure and their mixture with exact information/capacity controls.|Touch without value; retrace then runner; small node; no receiver local touch; pre-touch arrival uncertainty.
O23.PAYOFF_SET|Add exact payoff slopes, normalized excess payout and local slope changes to the complete minimizing interval.|Compare scalar minimizer and full curve features against round-strike/ordinary-node controls; predictive value remains separate.|Flat minimum; missing wing; adjusted deliverable; same minimum different slope; zero OI.
X01.ASYNC|Use a multi-rate event view with partial ordering, source liveness/age and bounded coalescing.|Compare clock/event-triggered grids under equal admitted information and measured delay, not invented simultaneity.|ETF bar spans futures ticks; tied timestamps; delayed source; unchanged healthy state.
X02.PARITY_BASIS|Fit structured coordinate/carry/basis state and common mapping uncertainty with explicit forward/maturity domains.|Compare fixed/affine/parity/filter maps and valid round trips; distinguish noisy-coordinate joint model from inverse regression.|Cash proxy not observed touch; roll; different maturity; Jacobian units; shared mapping error.
X03.NDX_QQQ|Separate common Nasdaq state and NDX-monthly/NDXP/QQQ/native residual information with support/settlement factors.|Compare all single/pair/full sources, simple fusion and sparse residual interactions at matched density/cohorts.|Small node; no local touch; different expiries; native flow without quotes; unequal data dates.
X04.SPX_SPY|Decompose S&P common and SPX/SPXW/SPY/native residual forecasts, then evaluate actual ES economics separately.|Compare source information and NQ/ES execution choice on matched dates, units, model budgets and mandatory constraints.|AM/PM settlement; native quote gap; NQ longer history; different stop affordability.
X05.SOURCE_ONLY|Estimate receiver innovation and remaining event lifetime after actual source availability, controlling past common-market movement.|Compare receiver-only, source event/return, distributed response and duration models across no-touch/already-reacted/contradictory cohorts.|Receiver moved before receipt; source expires; common announcement; no local level.
X06.SET_GRAPH_TIME|Add a common-factor hierarchy plus sparse directed lagged residual interactions before graph/attention complexity.|Compare additive, per-chain, low-rank/residual and bounded graph/time models with exact support and compute controls.|Duplicate common signal; source permutation; acquisition regime; incompatible coordinates; current-cut cycle.
X07.PRICE_SMT|Use standardized own-reference breach magnitude/order and residual price innovations at causal lags.|Compare exact price SMT, ratios/VAR and sparse conditional lag features after realistic timing.|Common factor explains move; stale source; reverse breach order; missing reference.
X07.FLOW_SMT|Add activity/contract-scale-normalized cohort-flow innovations and cross-price/flow response kernels.|Compare ordinary/fixed/adaptive/soft cohort cases with compatible provider aggregation and matched timing.|NQ/ES raw contracts incomparable; sparse cohort; shared trade-size artifact; asynchronous quotes.
X08.TRF|Use unsigned receipt-time intensity/notional surprise, report lag and causal price-reference controls.|Compare no-print, simple intensity and residual event models; do not derive signed CVD, hidden venue or parent identity.|Late/cancelled report; price outlier; full-day top list; repeated size; no paired quote.
X08.CONSTITUENTS|Keep ETF/event proxies separate from PIT true breadth and contribution decomposition, adding each when its data becomes eligible.|Compare concentration/breadth/event residuals against futures/ETF baselines at supported clocks and effective dates.|Current weights leak; one constituent dominates; missing constituent tape; delayed daily index.
X09.NKD_FX|Separate Japan equity, currency and local-session components and test causal residual transmission at supported horizons.|Compare NKD only, FX only, joint decomposition and receiver baseline with shared-event controls.|FX explains local move; nonoverlapping holiday; currency units; stale session close.
X09.HG_FX|Decompose copper price/activity from currency/common-event state and test conditional receiver-tail/return information.|Compare each source, simple joint lag and sparse residual interaction with exact observation clocks.|Commodity-specific shock; FX collinearity; contract roll; unavailable intraday interval.
X09.SI|Retain silver as its own source expert with local-session/activity residuals and conditional influence duration.|Compare receiver-only, raw silver lag and state-adjusted residual features; no generic metal pooling without ablation.|Silver-specific event; holiday; low activity; shared dollar shock.
X09.YM_RTY|Separate broad US index common movement and YM/RTY-specific price/flow/breadth residuals.|Compare each source, joint sparse lags and NQ/ES-only baseline under matched availability.|Same common equity shock; differing tick values; reference breach order; one source gap.
X09.RATES|Use exact rates/inflation source publication clocks and separate curve/change/state components where supported.|Compare slow context and eligible intraday response separately, pooling sparse releases by real observation counts.|Daily value repeated intraday; release revision; maturity/unit difference; announcement overlap.
X09.GC_USD|Separate gold and dollar components, publication/session state and conditional slow transmission.|Compare each source, simple joint residual context and receiver baseline at defensible horizons.|Dollar proxy mismatch; roll; common event; slow input cannot establish subsecond lead.
X10.COT|Model report-level positioning innovations and subsequent-session influence with exact as-of/publication/vintage handling.|Compare last level/change, pooled residual report model and supported current-state interactions by independent reports.|Tuesday position published later; revision; category changes; duplicated minute rows.
X10.SHFE|Use inventory report innovations, unit/commodity/lifecycle conventions and causal report-age effects.|Compare level/change with partially pooled unexpected changes and interaction with observed commodity/global state.|Holiday report gap; revision; unit mismatch; warehouse/category change; stale report.
X10.SLV|Separate fund-holdings quantity changes from price/notional effects and model publication-lagged report innovations.|Compare last reported holdings, change and supported residual context with actual report counts.|Price rise looks like inflow; revised shares; publication after market close; missing vintage.
L01.INTERNAL_ROLES|Compare exact internal quarter/EQ/open points with bounded range-relative role/value fields and limited offsets.|Preserve internal-to-edge and internal-to-extension branches; equalize candidate count, width and information delay.|No edge touch; compressed/purged interior; wide range; role changes after reclaim.
L02.PROJECTION_ROLES|Use an ordered extension ladder with conditional overshoot support, time and role transitions.|Compare all exact source ratios and learned quantile bands with equal count/width; source coordinate semantics stay explicit.|1.33 coordinate versus edge extension; gap-over; partial retrace then continuation; deeper level not reached.
L03.RTH_ETH|Attach graded overnight/current-session touch, pressure, acceptance and reclaim memory to prior-RTH/full-session objects.|Compare faithful RTH-only freshness, ETH flag and duration/pressure-aware role models without changing anchors.|ETH wick; sustained overnight acceptance; missing ETH; 06–09 inner versus RTH outer.
L04.ZONE_DEFINITION|Derive supported conditional regions from the exact declared excursion/dispersion target, with geometry and estimation uncertainty separate.|Compare all disclosed source populations/formulas, conditional quantiles and density regions; undisclosed formula remains unresolved.|Open-relative versus edge-relative; multimodal tails; sample mismatch; unavailable proprietary formula.
L04.WIDTH_SNAP|Test bounded spatial refinement, soft structure-distance features and snapping under matched contact width/count and frozen labels.|Compare free zones and each refinement with fold-local generation/scoring and cost-aware selected value.|Wider zone raises hit rate; snap changes target; uncertainty not tolerance; outer-test tuning.
L05.PROFILE_ROLES|Use stable multiscale profile regions and predicted added-mass/evolution features to forecast every POC/VA/node/shelf/valley role.|Compare landmark-only, stable geometry and evolution-conditioned roles with compatible grid/random controls.|POC plateau; small node; valley not book liquidity; new mode; changing maturity.
L06.DELTA_ROLES|Generate supported buy/sell/unknown regions from intensity and shrunken contrast, with novelty/pressure and matured reward state.|Compare total/net/side-specific nodes at matched support and geometry before richer role models.|Opposing shelves cancel; tiny ratio; uncertain side; positive delta fails to hold.
L07.IB_TPO|Use graded occupancy, repair/excess and revisit continuity for daily/weekly IB, tails, single prints and POC roles.|Compare discrete source geometry and support-weighted duration/role forecasts on exact brackets/anchors.|Provisional single print; weekly IB differs; repaired tail; missing dwell; half-day.
L08.SWING_REFINEMENT|Propose nested persistent swing/retracement regions with confirmation-delay and parent-leg uncertainty.|Compare every source ratio/anchor, one-scale and multiscale/bounded offset alternatives at equal count/width/delay.|Nested duplicates; late pivot; provisional move; unchanged ratio new leg.
L09.GAP_TYPES|Maintain typed spatial repair/duration fields for price FVG, body gap and measured volume imbalance separately.|Compare exact source rules, continuous repair geometry and eligible actual-footprint support, preserving each population.|Partial fill then continuation; gap on one bar scale; new higher-timeframe identity; future origin.
L10.ENTRY_GEOMETRY|Treat each body/full-range/wick interpretation and entry/stop combination as a distinct complete candidate family.|Compare continuous sweep/reclaim quality and bounded region improvement only after actual confirmation and nonfill accounting.|Midpoint not revisited; interpretation conflict; stop beyond budget; event-time versus candle delay.
L11.DYNAMIC_BANDS|Use robust band asymmetry and multi-anchor convergence while testing frozen versus tracking levels as distinct policies.|Match initial opportunity, width and actual target-motion/amendment cost; retain reversion/acceptance/continuation roles.|VWAP crosses stationary price; duplicate anchors; outlier SD; late target move.
L12.PRINT|Add causal print-size/exposure surprise, grouping and reference-graph features to the unsigned received-price object.|Compare single/cluster objects, exact width/expiry variants and time/distance/size-matched ordinary-price controls.|Late report; cancelled print; future largest ranking; distant unmappable source; group grows after birth.
L13.SMALL_SCENARIO_NODES|Retain all supported small and scenario-dependent nodes with common mapping uncertainty and lifetime/role forecasts.|Compare static largest/nearest, dynamic and scenario-aware policies at equal density/width, including no-local-touch cohorts.|Tiny persistent node; scenario sign changes; uncertain cash touch; overlapping mappings.
L14.CORRIDORS|Build quantile/multimode center bands and support-aware topology corridors, using temporal transition information.|Compare source envelopes, ordinary VWAP, simple midpoints and role-aware corridors with compatible controls.|Mean in valley; missing wing; corridor narrows; midpoint useful; undisclosed projection not replicated.
L15.IMMEDIATE_WAIT|Generate entry-time/price frontiers from the source event's remaining receiver response and lifetime.|Compare immediate, pullback and confirmation through the same G07 time/occupancy and P risk/cost contract.|Receiver already reacted; no pullback; source fails while waiting; local touch absent.
L16.GRID_OFFSETS|Factor fixed-grid proposals into reach/contact, conditional role/outcome and executable utility with uncertainty-aware bounded offsets.|Compare fixed/source/KDE and learned proposals under count/width controls and full cross-fitted generator/scorer closure.|Unreachable peak; wider region gaming; new object disguised as offset; training-label reuse.
L17.RETEST_HAZARD|Use recurrent pressure-dose, renewal, age and lineage transitions to estimate remaining useful life and role.|Compare source expiry/touch rules with calibrated retention/retirement policy, retaining observation after retirement where possible.|Object re-ID; many tiny visits; fresh evidence; retirement hides later outcome.
L18.DEPENDENCE|Separate geometry-overlap, source-evidence and executable-action graphs before aggregation and ranking.|Compare unmerged/simple overlap with typed relations and sparse learned aggregation, preserving every original object/source.|Same evidence many indicators; same action distinct evidence; different expiry; graph permutation.
L19.ORIGIN_MEMORY|Use sparse aggression-memory support, novelty and context-residual reward/lifetime to form origin regions.|Compare exact center, support band and nearby price-only controls with causal protection and cumulative idea risk.|Trend rewards all origins; reused prints; markout pending; neighboring swing explains reaction.
